ID,Username,Isi Thread,teks_bersih,label,prediksi_cv
55,syifaahmgold,"1 hal yang pasti Yang pengecut adalah yang tau itu ga nyaman dan tetap berada disana. Saya resign dari DJP bukan karena pengecut. Ooh iya menambahkan, orang yang berani resign apalagi dari DJP itu udah pasti bukan hanya pegawai yang fokus pada 1 zona aja, dan dipastikan kalo yang resign itu ga ada beban finansial berupa cicilan sih minimal",kecut tau tidak_nyaman tetap ada sana resign djp bukan_pengecut ooh tambah berani resign djp bukan_pegawai fokus zona pasti resign tidak_beban finansial upa cicil minimal,negatif,netral
56,nadhirasyahrun,"Ada kalanya kerja jadi konsultan pajak sering bikin gw berpihak ke DJP di beberapa kasus. Contoh kasus: pemeriksa pajak minta penjelasan cara pembebanan biaya jasa intragrup ke WP pas audit. Disini pemeriksanya baik, komunikatif, dan sefrekuensi sama konsultan. Namun WP nya tipe yang reluctant, defensif, dan gak mau ditanya2, padahal datanya lengkap 📑 🤷🏻‍♀️.Moto hidupnya= “Pokoknya KPP harus paham dengan data yang seadanya”. Kasian tau temen2 DJP, udah target tinggi, harus paham bahasa kalbu pula",kala kerja konsultan pajak sering bikin pihak djp beberapa kasus contoh kasus periksa pajak minta jelas cara beban biaya jasa intragrup wajib pajak pas audit sini periksa baik komunikatif frekuensi sama konsultan wajib pajak tipe reluctant defensif tidak_mau tanya padahal data lengkap moto hidup pokok kpp paham data ada kasi tau temen djp target tinggi paham bahasa kalbu,positif,positif
57,rejhaanshary,"DJP tunangannya sudah paling gede, ga usah cengeng🤣.. instansi lain jg sama aja dgn tunjangan yg jauh lebih kecil",djp tunang paling besar tidak_usah cengeng instansi sama tunjangan jauh kecil,negatif,negatif
58,bie0529,Pegawai dpp itu impian bagi asn lain...pengasilan beda jauh...byngkn dg kementerian pusat lain juga byk yg pindah2😄,pegawai dpp impi asn asil beda jauh byngkn menteri pusat pindah,negatif,negatif
59,titutayu,"Sebagai anak pensiunan DJP ini sangat relate kak, tiba2 pindah ke pulau di sulawesi yg dikelilingi lautan 🤣, 2 tahun kemudian pindah ke kota besar, eh lalu pindah Jakarta, tapi pas Sy udh kuliah akhirnya bapak ajah yg pindah ke daerah Dan pensiun baru balik Jakarta 😁. Harus siap mental emang keluarganya",anak pensiun djp relate kak tiba pindah pulau sulawesi keliling laut tahun kemudian pindah kota besar lalu pindah jakarta pas kuliah akhir bapak ajah pindah daerah pensiun baru balik jakarta siap mental keluarga,netral,negatif
60,agusmaulana122019,"Sistem mutasi yang dianggap masih efektif untuk mencegah kolusi antara petugas dan wajib pajak. Blm ada solusi lain nampaknya. Kalo kita ngambil angle pegawai pajak, mutasi ini termasuk yang menyulitkan dalam perencanaan keluarga. Semoga kompensasi pindahannya mencukupi.",sistem mutasi anggap efektif cegah kolusi tugas wajib pajak belum_solusi nampaknya ngambil angle pegawai pajak mutasi masuk sulit rencana keluarga moga kompensasi pindah cukup,netral,positif
61,yudi_armand,"Menjadi PNS DJP, pasti sudah siap dgn segala konsekuensi sejak awal, layaknya TNI, Polri, ATR BPN dll. Mentalnya pasti kuat2 utk bs hidup jauh dari homebase, berpindah2 dan ga ada kata settle. Kuat2 sodara2 ku semua yg memilih jalan ini, ga semua org mampu.",jadi pns djp siap segala konsekuensi sejak awal layak tni polri atr bpn mental kuat hidup jauh homebase pindah tidak_kata settle kuat sodara pilih jalan tidak_mampu,positif,negatif
62,lian.ardi,Saya lebih percaya ada kucing diangkat jadi presiden daripada percaya pegawai pajak 100% bersih.,percaya kucing angkat presiden percaya pegawai pajak bersih,negatif,negatif
63,ro.sadi,"Satpam: 3jt, 3jt, 3jt; Manajer: 15jt, 15jt, 20jt, 25jt, 30jt; Content Creator: 0, 5jt, 0, 50jt; Pegawai Pajak: 10jt, 10jt, 500jt, 1M, ketangkep.",satpam manajer content creator pegawai pajak ketangkep,negatif,negatif
64,salman__mahmudi,"Saya pegawai pajak dan merasa utas ini keliru. Hampir semua pegawai pajak bersih, bahkan ada yang tidak bisa kurban karena tidak punya uang.",pegawai pajak rasa utas keliru hampir pegawai pajak bersih bahkan tidak_kurban tidak_uang,positif,negatif
65,nafkahnation.dx,"Cerita teman yang bekerja di KPP Pratama dan sering melihat wajib pajak kaget, bingung, dan marah saat mengurus pajak balik nama warisan.",cerita teman kerja kpp pratama sering lihat wajib pajak kaget bingung marah urus pajak balik nama waris,netral,negatif
66,kaaleno,Mutasi bank orang pribadi memang boleh diintip DJP?,mutasi bank pribadi intip djp,netral,netral
67,ryangadiza,"Menurut Anda, data apa yang paling sering memicu SP2DK dari DJP?",data paling sering picu djp,netral,netral
68,jdp_1107,Rame thread DJP resign berjamaah. Apakah ada mantan pegawai DJP yang menyesal resign atau justru merasa keputusan tersebut tepat?,rame thread djp resign jamaah mantan pegawai djp sesal resign justru rasa putus tepat,netral,negatif
69,rizkiagung888,Banyak seller marketplace mengaku omzet miliaran tetapi belum pernah melapor pajak. Menyoroti kesiapan menghadapi keterbukaan data omzet.,seller marketplace aku omzet miliar belum_pernah lapor pajak sorot kesiap hadap buka data omzet,netral,netral
70,iam.bnafis,"Instansi CPNS dengan tukin tertinggi: Pemprov DKI, DJP, Kemenkeu, BPKP, BPK, Mahkamah Agung.",instansi cpns tunjangan kinerja tinggi pemprov dki djp kemenkeu bpkp bpk mahkamah agung,positif,negatif
71,unaisatuzzahro,Cerita suami yang mengundurkan diri dari DJP setelah 14 tahun bekerja dan perjalanan hidup setelah resign.,cerita suami undur diri djp tahun kerja jalan hidup resign,netral,netral
72,dehankrzl,DJP itu di bawah Kemenkeu bukan? Atau memang tukinnya berbeda sendiri dibanding direktorat lain di Kemenkeu?,djp bawah kemenkeu bukan_tukinnya beda sendiri banding direktorat kemenkeu,netral,positif
73,unaisatuzzahro,Cerita tentang suami yang mengundurkan diri dari DJP setelah 14 tahun bekerja dan kondisi kehidupan setelah resign.,cerita suami undur diri djp tahun kerja kondisi hidup resign,netral,netral
74,ryangadiza,"Mana yang paling sering jadi temuan DJP: biaya entertainment, biaya tanpa bukti, atau natura? Share pengalaman Anda.",paling sering temu djp biaya entertainment biaya tanpa_bukti natura share alam,netral,netral
75,rizkiagung888,Per 1 Agustus 2026 PPh 22 marketplace berlaku. Omzet toko akan lebih mudah diketahui DJP dan menyoroti cara pemeriksa pajak bekerja.,agustus pph marketplace laku omzet toko mudah tahu djp sorot cara periksa pajak kerja,netral,netral
76,risxrs,Menanyakan apakah terdapat Direct API resmi DJP untuk integrasi sistem Core Tax dengan ERP perusahaan.,tanya dapat direct api resmi djp integrasi sistem core tax erp usaha,netral,netral
77,accelerationtax,Membahas perspektif internal DJP terkait trigger SP2DK dan proses analisis wajib pajak berdasarkan pengalaman mantan pegawai DJP.,bahas perspektif internal djp kait trigger proses analisis wajib pajak dasar alam mantan pegawai djp,netral,netral
78,legalist.hub,Memberikan langkah konkret terkait isu pemotongan pajak marketplace per 1 Agustus.,beri langkah konkret kait isu potong pajak marketplace agustus,netral,negatif
79,muhamadfajri1997,Menanyakan kebenaran isu DJP mengecek omzet tahun 2025 dan dampaknya terhadap batas omzet.,tanya benar isu djp ecek omzet tahun dampak batas omzet,netral,netral
80,nadiwahari,Menanyakan alasan masih menerima email dari DJP meskipun sudah melaporkan SPT dengan hasil nihil.,tanya alas terima email djp meski lapor spt hasil nihil,netral,netral
81,ryangadiza,Membahas dasar resmi DJP menerbitkan SP2DK dan meminta pendapat apakah SP2DK merupakan pengawasan wajar atau membuat wajib pajak takut.,bahas dasar resmi djp terbit minta dapat rupa awas wajar buat wajib pajak takut,netral,netral
82,Strategypajak.id,Menjelaskan sistem CRM DJP yang menilai risiko wajib pajak dan faktor-faktor yang meningkatkan risk score.,jelas sistem crm djp nilai risiko wajib pajak faktor faktor tingkat risk score,netral,netral
83,acinomxks,Berbagi pengalaman pelayanan di KPP terkait penggunaan surat kuasa dan verifikasi identitas direktur.,bagi alam layan kpp kait guna surat kuasa verifikasi identitas direktur,netral,positif
84,acinomxks,Menjelaskan bahwa persyaratan administrasi bertujuan menjaga keamanan data wajib pajak meskipun mengurangi kepraktisan.,jelas syarat administrasi tuju jaga aman data wajib pajak meski kurang praktis,positif,negatif
85,beka.moya,"Dari ex-DJP untuk wajib pajak: ""Laporlah sebelum data yang melaporkan.""",djp wajib pajak lapor data lapor,positif,netral
86,ngertitentangpajak,Mengajak wajib pajak yang menerima SP2DK untuk berbagi pengalaman dan menawarkan bantuan.,ajak wajib pajak terima bagi alam tawar bantu,positif,netral
87,elshaaudityaa,"Pajak Marketplace PPh 22 0,5% RESMI DITUNDA GUYS!!!!
Belum jalan seminggu peraturan dah dicancel… dah terlanjur bikin repot dan bikin cemas seantero negeri.
Beginilah kalau kebijakan tidak dikaji, tidak didiskusikan, tidak dipelajari dengan baik, akhirnya satu Indonesia raya yang kena 🤦🏼‍♀️🤦🏼‍♀️
Pertanyaannya , lalu pajak yang udh terlanjur dipotong 1-5 Agustus gimana? 🫠🫠🫠
Masih didiskusikan",pajak marketplace pph resmi tunda guys belum_jalan minggu atur dicancel lanjur bikin repot bikin cemas antero negeri begini bijak tidak_dikaji tidak_didiskusikan tidak_dipelajari baik akhir satu indonesia raya kena tanya lalu pajak lanjur potong agustus diskusi,negatif,netral
88,mitahandra,Mulai skrg sblm bayar pajak berdoa dulu guys “aku haramkan uang pajakku untuk para pejabat korupsi sampai ke anak cucunya. Dan miskinkan harta mereka yg memakan uang pajakku. Amiin”,mulai sekarang sblm bayar pajak doa dulu guys haram uang pajak jabat korupsi anak cucu miskin harta makan uang pajak amiin,negatif,negatif
89,aguyyugaaguy,"To the point aja ya warga thread,
Saya penyuluh pajak di salah satu KPP Jakarta.
Feel Free dan For Free alias GRATIS.
Bagi yg masih bingung masalah per-coretax-an, termasuk cara Lapor SPT, boleh tanya-tanya di komen atau welcome DM jg kalau merasa perlu sharing data privasi.
“Pajak ini sudah jadi beban bagi banyak orang, jangan sampai ongkos kepatuhannya juga membebani orang banyak lagi”
Disclaimer: Hanya inisiatif pribadi, ga mau kalah semangat dgn teman2 yg nawarin jasa berbayar. 🙂",the point warga thread suluh pajak salah satu kpp jakarta feel free for free alias gratis bingung masalah coretax masuk cara lapor spt tanya tanya komen welcome rasa perlu sharing data privasi pajak beban jangan_ongkos patuh beban disclaimer inisiatif pribadi tidak_mau kalah semangat teman nawarin jasa bayar,positif,positif
90,ernandaputra,"Bentar..bentar.. Kalo dipikir logikanya, kita yang kerja, kita yang bayar pajak. Trus kita juga yang harus ribet ngelaporin. Harusnya pemerintah ga sih yg laporan ke kita, pajak yang uda kita sumbang itu dipake buat apa aja? secara rinci & jelas. Setiap tahun.",bentar bentar pikir logika kerja bayar pajak terus ribet ngelaporin perintah tidak_laporan pajak uda sumbang dipake rinci jelas tahun,negatif,negatif
91,ardha.pengendali.pajak,"pajak marketplace ditunda, Malah jadi lebih rumit.
Kenapa?
Karena udh pada terlanjur setting semua di balik layar. Npwp, Nik. Jadi ud pada konek jg datanya. Dan kalo ditunda berarti cape lagi lu pada itung pph umkm 0.5% nya sendiri. Bedanya kmrn dipotongin sama platform, abis ini ya itung sama setor sndiri. Yg ga nyetor nanti kena sp2dk. Kan ud pada konek semua.
Duh kasian nih yg kmrn ud konsul... Jd bingung lg kan.. Mana ga diajarin cara nya setor pph final umkm 0.5% mandiri pula",pajak marketplace tunda malah rumit lanjur setting balik layar npwp nik konek data tunda arti cape itung pph umkm sendiri beda kemarin dipotongin sama platform abis itung sama setor sndiri tidak_nyetor kena konek duh kasi kemarin konsul bingung tidak_diajarin cara setor pph final umkm mandiri,negatif,negatif
92,zehanrusydah,"eh btw 82% pendapatan negara berasal dari pajak rakyat. jd kalo rakyat ngkritik kebijakan itu bukan kurang ajar. Itu wajar.
thank u",btw dapat negara asal pajak rakyat rakyat ngkritik bijak bukan_kurang ajar wajar thank,netral,negatif
93,monicsiman,"Percayalah setelah kalian punya PT sendiri baru tau betapa kejam nya pemerintah narikin pajak kita 🥹🥹
Bener bener semua harus di pajakin 😭😭",percaya kalian sendiri baru tau betapa kejam perintah narikin pajak benar benar pajakin,negatif,negatif
94,reeaaaaaaaaaana,"Ijin bertanya suhu 🙏🏻
Kami ada sp2dk pembahasan di PPh pasal 21 nya..
Ada bupot tenaga ahli dengan dpp 50% x 5% tiap bulan.
Emang adaa di akhir tahun/ bulan Desember dihitung ulang totalnya penerimaan dengan dpp 50% x sesuai tarif progresif pasal 17?
Case nya tahun 2023 yaa,
Sangat butuh pencerahaaaann 🥹🙏🏻",ijin tanya suhu bahas pph pasal bupot tenaga ahli dpp tiap bulan adaa akhir tahun bulan desember hitung ulang total terima dpp sesuai tarif progresif pasal case tahun butuh pencerahann,netral,negatif
95,nanamirdad_,"Bayar pajak itu gpp.. Bener deh.. Negara2 lain juga bayar pajak, bahkan banyak yang lebih tinggi.
Tapi nyesek adalah ketika kita ditekan sebegininya ( sampe ada tukang bakso rencana diminta 6 juta sebulan untuk bayar pajak 🥹 ) TETAPI yang kita dapet ngga sebanding dengan di negara2 maju lainnya dengan tarif pajak yang kurang lebih sama. Bahkan bukan hanya ngga sebanding, betul2 nyaris ngga ada public service and infrastructure yang layak dengan APBN yang diterima.
Harus gimana sih sebetulnya 😔",bayar pajak gpp benar negara bayar pajak bahkan tinggi nyesek tekan begini sampe tukang bakso rencana minta juta bulan bayar pajak dapet tidak_sebanding negara maju lain tarif pajak kurang_sama bahkan bukan_tidak banding betul nyaris tidak_public service and infrastructure layak apbn terima,negatif,negatif
96,putriiaulia,"Jujur gue kasian tp ga kaget sih UMKM pd dikejar2in pajak sampe kerumahnya, td lewat tukang bakso aja disuruh bayar pajak 6jt/month, gilakk.
Tp ya udh sesuai emg sama visi misi prabowo, kan dulu pas kampanye di visimisinya ditulis bakal narikin pajak UMKM dan NAIKIN GAJI PEJABAT😂😂🔫 yg ogeb yg milih.",jujur kasi tidak_kaget umkm kejar pajak sampe rumah lewat tukang bakso suruh bayar pajak month gilakk sesuai sama visi misi prabowo dulu pas kampanye visimisinya tulis bakal narikin pajak umkm naikin gaji jabat ogeb milih,negatif,negatif
97,septyratusalon,"Baru 5 hari berjalan, kebijakan pajak toko online malah ditunda. Perencanaannya ke mana? Jangan bikin aturan tergesa-gesa kalau akhirnya malah ditarik lagi. Yang bingung dan dirugikan justru masyarakat dan pelaku usaha!😤",baru hari jalan bijak pajak toko online malah tunda rencana jangan_bikin atur gesa gesa akhir malah tarik bingung rugi justru masyarakat laku usaha,negatif,netral
98,pakcandraaa,"Kita yg bayar pajak, kita yg lapor.
Kita gak lapor, kena denda.
LAH? YG MAKE PAJAK KENYANG-KENYANG AJA",bayar pajak lapor tidak_lapor kena denda make pajak kenyang kenyang,negatif,negatif
99,king.syah,"Negara udah bingung cari penghasilan, sampe Strava yang biasa kita pakai untuk lari pun kena pajak 11%",negara bingung cari hasil sampe strava biasa pakai lari kena pajak,negatif,negatif
100,ilmuumkm.id,"oodnews, pajak ecommerce resmi dibatalkan setelah berjalan nyaris 5 hari",oodnews pajak ecommerce resmi batal jalan nyaris hari,netral,netral
101,gerryprayudi,"Saya warga Solo, hari ini mau bayar pajak mobil, kaget karena naik 200 ribu dari tahun lalu. 2024 bayar 3,6 juta, 2025 naik jadi 4,2 juta. Tahun ini 2026 naik lagi jadi 4,4 juta. Padahal tiap tahun nilai mobilnya selalu turun, kenapa pajaknya malah selalu naik yaa? 🥲",warga solo hari mau bayar pajak mobil kaget naik ribu tahun lalu bayar juta naik juta tahun naik juta padahal tiap tahun nilai mobil selalu turun pajak malah selalu naik,negatif,negatif
102,ddilady,"serius nanya. aku abis dikasih tau petugas pajak kalo mending wajib pajak nya di non aktifkan aja (soalnya cuma buat aff). biar gausah repot lapor tiap tahun. nah mau tanya kalo di non aktifkan gitu, misal ada komisi masuk dari aff sopi, apa komisinya bisa tetep masuk?🤔",serius nanya abis kasih tau tugas pajak mending wajib pajak non aktif soal cuma aff gausah repot lapor tiap tahun nah mau tanya non aktif misal komisi masuk aff sopi komisi tetep masuk,netral,negatif
103,putirmaput,"Dasar gak tau diri! Tidak seharusnya kendaraan plat merah yang notabene dibeli dengan uang pajak rakyat diubah ke plat pribadi dan digunakan untuk kepentingan pribadi diluar dinas
@wonosobozone
 
@icw_net
 
@satlantaspolreswonosobo
 
@inspektorat_jtg
 @inspektoratwonosobo",dasar tidak_tau diri tidak_kendaraan plat merah notabene beli uang pajak rakyat ubah plat pribadi guna penting pribadi luar dinas,negatif,negatif
104,niarwitya,"Rasanya pemerentah skrg klo bikin kebijakan pajak grusa grusu ya, ttg coretax, pmk ppn dtp, trs ini peraturan pajak marketplace. Perasaan dulu waktu ppn naik 1 persen ga se grusa grusu ini deh. Ada sosialisasinya dulu, pmk dikeluarin ya udh itu ga direvisi atau gajadi kek gini....",rasa entah sekarang bikin bijak pajak grusa grusu ttg coretax pmk ppn dtp terus atur pajak marketplace asa dulu ppn naik persen tidak_grusa grusu sosialisasi dulu pmk dikeluarin tidak_direvisi gajadi kek gin,negatif,negatif
105,nableu_,"Bayangin lo ngga bayar pajak karena lupa tanggal nya, tiba2 rumah lo didatengin TNI atau Polri. Deym keren banget berasa kriminal kelas kakap",bayangin tidak_bayar pajak lupa tanggal tiba rumah didatengin tni polri deym keren asa kriminal kelas kakap,negatif,negatif
106,sasmi.andriyani,apa ya kelebihannya jadi prioritas di kantor pajak?,lebih prioritas kantor pajak,negatif,positif
107,sandysukmana_,ada negara yang nagihin pajak rakyatnya sampai petugasnya turun ke jalan. tapi gamau dengerin aspirasi rakyatnya yang turun ke jalan,negara nagihin pajak rakyat tugas turun jalan gamau dengerin aspirasi rakyat turun jalan,negatif,negatif
108,dcrisniaty,"dear staff pajak yg ngerjain fp , kasih aku paham dong kalo uang muka penjualan tuh di nama barangnya harus pake kata UANG MUKA ga? contoh UANG MUKA PVC 13x03 atau cukup dengan PVC 13x03 aja ? soalnya first time pake Faktur Pajak Uang Muka
thx u 🫶🏻",dear staff pajak ngerjain kasih paham uang muka jual nama barang pake kata uang muka tidak_contoh uang muka pvc cukup pvc soal first time pake faktur pajak uang muka thx,netral,negatif
109,nrmaulidia,"Dear Mahasiswa Accounting
Kalau belum jago jurnal, ada matkul pajak materinya perhitungannya aja. Jangan lupa belajar jurnalnya juga yak. Di dunia kerja belum tentu kamu punya leader yg membimbing dan atau temen di divisi accounting aliasnya sendiri aja. Sebagai FG biar gak gila. Apalagi perusahannya mau transisi dari manual ke sistem🔥🧨",dear mahasiswa accounting belum_jago jurnal matkul pajak materi hitung jangan_lupa ajar jurnal yak dunia kerja belum_leader bimbing temen divisi accounting alias sendiri tidak_gila usah mau transisi manual sistem,netral,negatif
110,nioald,"Lagi rame berita Kanwil DJP Jaksel baru aja blokir rekening bank milik 57 wajib pajak. Total saldo yang ketahan di bank nggak main main, tembus 80 miliar rupiah. Banyak pengusaha yang kaget kok bisa kantor pajak main blokir rekening nasabah gitu aja. Emang boleh dan sah secara hukum buat bekukan duit orang?",rame berita kanwil djp jaksel baru blokir rekening bank milik wajib pajak total saldo tahan bank tidak_main main tembus miliar rupiah usaha kaget kantor pajak main blokir rekening nasabah sah hukum beku uang,negatif,negatif
111,alfian.saka,"Jujur sejak awal mendirikan usaha tahun 2015, saya ga pernah ada niatan tidak bayar pajak. Buka usaha ingin fokus berkembang dan lancar. Menggaji finance juga salah satunya untuk perpajakan, awal mungkin masih OK ada SP2DK masih belajar. Tapi ternyata setelah mengalami bayar denda (seperti di perlakukan maling) muncul persepsi, selama ini kita rapih kok masih di cari-cari kesalahan? Kalau gitu ga perlu rapi rapi amat 🥲 belum lagi duit pajak yang terlihat di hambur-hamburkan, trust issue.",jujur sejak awal diri usaha tahun tidak_pernah niat tidak_bayar pajak buka usaha fokus kembang lancar gaji finance salah satu paja awal mungkin ajar nyata alami bayar denda laku maling muncul persepsi lama rapih cari cari salah tidak_perlu rapi rapi belum_uang pajak lihat hambur hambur trust issue,negatif,negatif
112,segantarii,"Ebusetttt ampe gaji dari pajak pun di atur mau dipake buat apa, kebiasaan beli buku juga keknya bakal di julit ni , btw gua ga nyangka bro gua (seorang PeeNeS) juga seorang penulis 
@sepiahara_
 , gua baca dulu ya bang 🤣🤣🤣",ebuset ampe gaji pajak atur mau dipake biasa beli buku kek bakal julit btw tidak_nyangka bro orang peenes orang tulis baca dulu bang,negatif,negatif
113,maiaestiantyreal,"Aturan pajak seller online 0,5% ditunda, busyeeettt, ibarat orang, ini aturan kayak manusia plin plan ya??? Kayak gak di plan gitu loh… pantesan banyak investor pindah ke negara lain, lah wong aturan nya aja berubah-ubah mulu … piye Jal ???",atur pajak seller online tunda busyet ibarat atur kayak manusia plin plan kayak tidak_plan pantesan investor pindah negara wong atur ubah ubah mulu piye jal,negatif,negatif
114,shintawkk95,"As a tax consultant, gue kasihan sih sama DJP. 🤣
Yang korup kebanyakan justru dari instansi yang tugasnya spending money (walaupun di DJP juga ada, nggak munafik). Tapi tiap ada isu korupsi, yang kena semprot duluan tetap DJP. Seolah-olah semua dosa negara numpuknya di sana. Yang ngabisin anggaran siapa, yang dimarahin siapa. 🤣",tax consultant kasihan sama djp korup banyak justru instansi tugas spending money walaupun djp tidak_munafik tiap isu korupsi kena semprot duluan tetap djp olah dosa negara numpuknya ngabisin anggar dimarahin,positif,negatif
115,nadhirasyahrun,"Ada kalanya kerja jadi konsultan pajak sering bikin gw berpihak ke DJP di beberapa kasus. Contoh kasus: pemeriksa pajak minta penjelasan cara pembebanan biaya jasa intragrup ke WP pas audit. Disini pemeriksanya baik, komunikatif, dan sefrekuensi sama konsultan. Namun WP nya tipe yang reluctant, defensif, dan gak mau ditanya2, padahal datanya lengkap 📑 🤷🏻‍♀️.Moto hidupnya= “Pokoknya KPP harus paham dengan data yang seadanya”. Kasian tau temen2 DJP, udah target tinggi, harus paham bahasa kalbu pula 😂",kala kerja konsultan pajak sering bikin pihak djp beberapa kasus contoh kasus periksa pajak minta jelas cara beban biaya jasa intragrup wajib pajak pas audit sini periksa baik komunikatif frekuensi sama konsultan wajib pajak tipe reluctant defensif tidak_mau tanya padahal data lengkap moto hidup pokok kpp paham data ada kasi tau temen djp target tinggi paham bahasa kalbu,positif,positif
116,irwandiferry,"Gaji pegawai DJP itu gak setinggi yg kt bayangin, termasuk tinggi memang dibanding banyak instansi yang lain, tapi gak sampai buat diri lu jadi auto sultan dsb
untuk level staff, gaji mereka dibawah PNS pemda DKI, dibawah BI, dibawah OJK, dan masih kalah dengan banyak gaji staf di berbagai BUMN
Resiko yg mereka hadapi gak ringan, keselamatan terancam, beberapa meninggal dalam tugas, dianggap ancaman oleh masyarakat, belum lagi sistem mutasi seluruh indonesia",gaji pegawai djp tidak_setinggi bayangin masuk tinggi banding instansi tidak_diri auto sultan bagai level staff gaji bawah pns pemda dki bawah bawah ojk kalah gaji staf bagai bumn resiko hadap tidak_ringan selamat ancam beberapa tinggal tugas anggap ancam masyarakat belum_sistem mutasi seluruh indonesia,positif,positif
117,c_zhepank,"Minimal SMI ga butuh like,komen, share dari 50rb pegawai yang dihina-hinakan itu.",minimal smi tidak_butuh like komen share pegawai hina hina,negatif,negatif
118,rezaekaptr,"orang-orang DJP lagi pada pusing gasihh??
soalnya aku aja yang pegawai swasta & kebetulan kerjanya berhubungan sama pajak udah pusing liat berita akhir-akhir ini tentang perpajakan 🙂🙂",djp pusing gasihh soal pegawai swasta betul kerja hubung sama pajak pusing liat berita akhir akhir paja,netral,negatif
119,acinomxks,"Menurutku DJP logikanya harus dipakai deh, kemarin aku ke kantor pajak sebagai karyawan pakai surat kuasa, segala data yang sudah disiapkan, fotocopy KTP, NPWP dan segala printilan identitas direktur
Lalu sampai loket KPP terjadi percakapan
🐒 : ini semua data siapa ?
😪 : data direktur bu, sesuai dengan nama yang tercantum pada akta
🐒 : ngapain direkturnya kog gk datang kesini sendiri ?",turut djp logika pakai kemarin kantor pajak karyawan pakai surat kuasa segala data siap fotocopy ktp npwp segala printilan identitas direktur lalu loket kpp jadi cakap data data direktur sesuai nama cantum akta ngapain direktur kog tidak_datang kesini sendiri,positif,netral
120,virly.wd,"KPP sekarang lagi galak2 ya, baru aja cair atas LB SPT 2024 eh udah dapet SP2DK atas 2 tahun dan lampirannya banyak banget udah kaya lagi diperiksa 🥲🥲
Ya tuhan mana minta ekualisasi, rincian dan bukti semua ledger 😭",kpp sekarang galak baru cair atas spt dapet atas tahun lampir kaya periksa tuhan minta ekualisasi rincian bukti ledger,negatif,negatif
121,irilrahmanr,"Gue tau banyak yang gasuka pajak, personal opinion aja ini. Gue uda kerja dan bayar pajak di australia, malaysia, dan indonesia.
Coretax itu yang paling praktis wkwk",tau gasuka pajak personal opinion uda kerja bayar pajak australia malaysia indonesia coretax paling praktis wkwk,positif,negatif
122,idealisme_hati,"So in Indonesia, if you're poor, the police will make sure you pay your taxes. But if you're a billionaire, you could receive tax holidays for up to 50 years.
Welcome FASCISM!",indonesia you poor the police will make sure you pay your taxes but you billionaire you could receive tax holidays for years welcome fascism,negatif,negatif
123,genuinephoenix8420,"Dear 
@kemenkeuri
 & 
@ditjenpajakri
 , bisa kah PPn diturunkan ke 6% dan seluruh penjual makanan di jalanan, di warteg, restaurant, catering, IG diminta narik PPN? Biar adil kita usahanya. Sama2 usaha, masa aku bayar PPN, mereka ga bayar. Dan kurangi lah PPN, biar ga berat buat pelanggan.",dear ppn turun seluruh jual makan jalan warteg restaurant catering minta narik ppn adil usaha sama usaha masa bayar ppn tidak_bayar kurang ppn tidak_berat langgan,negatif,negatif
124,tebbythebunny,"Terkutuk lah kalian para pegawai pajak, semoga hidupmu tidak bahagia dunia akhirat!",kutuk kalian pegawai pajak moga hidup tidak_bahagia dunia akhirat,negatif,negatif
125,shafaarghina,DEMI ALLAH DEMI RASULULLAH GUE GAK IKHLAS PENCAIRAN JHT KENA PAJAK. JAHAT BANGET YA ALLAH. GUEEEE GAK IKHLASSSSSSSS😭😭😭😭😭😭😭😭😭😭😭😭😭😭,allah rasulullah tidak_ikhlas cair jht kena pajak jahat allah tidak_ikhlas,negatif,negatif
126,yunawatiwiady,"Hidup lagi capek2nya nyari uang, Kaget tiba2 kedatangan orang dari kantor pajak, disuruh bayar segini😭😭
10thun lebih menjual baru dapat kek gini, Tahunnya 2024 kenapa ditagihnya baru sekarang🤔😩",hidup capek nyari uang kaget tiba datang kantor pajak suruh bayar gin thun jual baru kek gin tahun tagih baru sekarang,negatif,negatif
127,akartaxservices,"DAPET SP2DK LAGI UNTUK WP ORANG PRIBADI TAHUN PAJAK 2023!!
Menurut Fiskus, terdapat indikasi Penghasilan Wajib Pajak yang belum dilaporkan berdasarkan perhitungan analisis Fiskus.
Dari lampiran perhitungan analisis fiskus, diketahui bahwa total penghasilan yang belum dilaporkan adalah 5,4 Milyar !
Case nya menarik untuk kita bahas, Jika kalian dapat perhitungan penghasilan yang belum dilaporkan menurut Fiskus, apa yang kalian lakukan?
Kalau kami, begini proses menanggapinya:",dapet wajib pajak pribadi tahun pajak fiskus dapat indikasi hasil wajib pajak belum_dilaporkan dasar hitung analisis fiskus lampir hitung analisis fiskus tahu total hasil belum_dilaporkan milyar case tarik bahas kalian hitung hasil belum_dilaporkan fiskus kalian laku begini proses tanggap,netral,netral
